hour,weekday,floor_int,temperature,occupancy,power
2,5,1,68.9644492299933,17,107.175210726942
2,5,2,68.5459682782491,16,108.035957322951
2,5,3,68.7246155849723,16,115.624597061309
2,5,4,69.6829896265147,1,97.4588823641825
1,5,1,67.8561303699226,23,73.6325032289315
1,5,2,68.6347854614258,18,75.0841853827878
1,5,3,68.9321436327557,21,82.9540785403515
1,5,4,69.6776649319396,1,64.8349789448548
1,5,1,68.6890296936035,12,66.9465898590352
1,5,2,68.7886100451151,19,71.588259442542
1,5,3,69.1433833809786,27,76.9703006343407
0,5,1,68.8551271672834,29,73.679729350697
0,5,2,69.3907251358032,44,78.3901416185254
0,5,3,69.2212580303813,40,83.7117496754217
0,5,4,69.7217793367347,6,64.6183869881206
0,5,1,68.1686524006358,39,78.7396849401412
0,5,2,68.8474659760793,32,83.6028103372664
0,5,3,69.0159270264382,47,89.770440807275
0,5,4,69.7773661710778,1,69.0055842301808
23,4,1,69.0941940441466,34,75.3469368061051
23,4,2,69.5341431935628,26,79.3540689577349
23,4,3,69.3228656857513,41,88.277949868032
23,4,4,69.8184630724849,12,66.0624388421129
23,4,1,68.4951770514773,38,78.3037279870769
23,4,2,68.9922433535258,20,79.5125177042501
23,4,3,69.092833097591,39,87.9224182307953
23,4,4,69.9372335939991,6,66.2652483556012
22,4,1,68.7925478951973,45,98.4617908791697
22,4,2,69.4386355717977,21,99.4020461604523
22,4,3,69.2951605818992,31,108.939240123669
22,4,4,70.0415070202886,13,86.6217149686127
22,4,1,69.3968075534754,59,98.3436380997009
22,4,2,69.491991297404,29,101.665946555528
22,4,3,69.2128782050554,33,112.990343542449
22,4,4,70.1344999975088,17,87.2993908552453
21,4,1,68.9838492075602,74,103.603410784272
21,4,2,69.5634660085042,40,105.720224324497
21,4,3,69.3479646638382,36,115.900783857709
21,4,4,70.1013150896345,17,91.8059339916508
19,4,1,68.653131049976,90,92.3918914106034
19,4,2,69.2033320109049,85,90.1584655223705
19,4,3,68.9702120492625,56,101.297774632461
19,4,4,69.9621994641362,27,76.8285550801957
19,4,1,69.4806885301021,118,109.618859416893
19,4,2,69.7635103861491,101,108.790583918424
